,Unnamed: 0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Trip_duration
12,46782248,1,2017-06-09 19:00:26,2017-06-09 19:20:11,1,3.0,1,N,13,148,1,15.0,1.0,0.5,3.35,0.0,0.3,20.15,0 days 00:19:45
13,94113247,2,2017-11-06 23:35:05,2017-11-06 23:42:57,1,2.39,1,N,209,25,1,9.5,0.5,0.5,2.16,0.0,0.3,12.96,0 days 00:07:52
14,14168279,1,2017-02-22 15:18:31,2017-02-22 15:42:50,1,3.3,1,N,238,161,1,17.5,0.0,0.5,4.55,0.0,0.3,22.85,0 days 00:24:19
15,47444401,2,2017-06-02 06:41:39,2017-06-02 06:57:47,1,5.93,1,N,239,231,1,19.0,0.0,0.5,3.0,0.0,0.3,22.8,0 days 00:16:08
16,69088676,1,2017-08-15 19:48:08,2017-08-15 20:00:37,1,3.6,1,N,163,41,1,12.5,1.0,0.5,2.85,0.0,0.3,17.15,0 days 00:12:29
17,58691513,2,2017-07-10 13:36:31,2017-07-10 13:48:43,2,1.71,1,N,142,100,1,9.5,0.0,0.5,0.0,0.0,0.3,10.3,0 days 00:12:12
18,35388828,2,2017-04-10 18:12:58,2017-04-10 18:17:39,2,0.63,1,N,263,262,2,5.0,1.0,0.5,0.0,0.0,0.3,6.8,0 days 00:04:41
19,18383214,2,2017-03-05 04:01:07,2017-03-05 04:14:11,2,2.77,1,N,79,68,1,11.5,0.5,0.5,3.2,0.0,0.3,16.0,0 days 00:13:04
20,110690689,1,2017-12-30 23:52:44,2017-12-30 23:58:57,1,1.1,1,N,166,238,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,0 days 00:06:13
21,85505540,2,2017-10-11 12:34:49,2017-10-11 13:22:38,1,12.3,5,N,138,265,1,68.25,0.0,0.0,12.0,16.26,0.3,96.81,0 days 00:47:49
22,113074702,2,2017-01-06 20:12:07,2017-01-06 20:18:37,1,0.52,1,N,90,249,1,5.5,0.5,0.5,1.0,0.0,0.3,7.8,0 days 00:06:30
23,54636365,1,2017-06-27 00:08:22,2017-06-27 00:13:45,1,1.7,1,N,162,263,1,7.0,0.5,0.5,2.05,0.0,0.3,10.35,0 days 00:05:23
24,10565287,1,2017-02-13 10:29:33,2017-02-13 10:34:11,1,0.9,1,N,237,237,1,5.5,0.0,0.5,1.25,0.0,0.3,7.55,0 days 00:04:38
25,111209513,2,2017-01-14 19:58:42,2017-01-14 20:05:59,1,1.72,1,N,43,141,1,8.0,0.5,0.5,2.79,0.0,0.3,12.09,0 days 00:07:17
26,93194366,1,2017-11-04 01:27:59,2017-11-04 01:44:05,1,2.7,1,N,50,263,1,13.0,0.5,0.5,2.85,0.0,0.3,17.15,0 days 00:16:06
27,99525452,2,2017-11-24 10:48:13,2017-11-24 10:52:57,1,0.85,1,N,237,161,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3,0 days 00:04:44
28,99074251,1,2017-11-22 10:24:17,2017-11-22 10:38:52,1,2.3,1,N,162,113,1,11.0,0.0,0.5,2.35,0.0,0.3,14.15,0 days 00:14:35
29,94052446,2,2017-11-06 20:30:50,2017-11-07 00:00:00,1,30.83,1,N,132,23,1,80.0,0.5,0.5,18.56,11.52,0.3,111.38,0 days 03:29:10
30,67540161,1,2017-08-09 21:01:50,2017-08-09 21:14:28,1,2.3,1,N,163,234,1,10.5,0.5,0.5,1.77,0.0,0.3,13.57,0 days 00:12:38
31,35914864,1,2017-04-12 11:07:56,2017-04-12 11:19:29,4,1.5,1,N,239,43,2,9.0,0.0,0.5,0.0,0.0,0.3,9.8,0 days 00:11:33
32,63600506,2,2017-07-26 23:26:50,2017-07-26 23:55:49,1,14.32,1,N,132,149,2,40.5,0.5,0.5,0.0,0.0,0.3,41.8,0 days 00:28:59
33,90465096,1,2017-10-26 19:43:07,2017-10-26 20:06:02,1,2.9,1,N,230,238,1,15.5,1.0,0.5,3.45,0.0,0.3,20.75,0 days 00:22:55
34,18173620,1,2017-03-04 18:19:04,2017-03-04 18:32:13,1,1.7,1,N,236,161,1,10.5,0.0,0.5,1.7,0.0,0.3,13.0,0 days 00:13:09
35,93554066,2,2017-11-05 01:35:25,2017-11-05 01:43:39,5,2.69,1,N,24,48,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,0 days 00:08:14
36,14770087,1,2017-02-24 11:24:50,2017-02-24 11:29:18,1,0.6,1,N,142,142,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8,0 days 00:04:28
37,14373799,2,2017-02-23 08:04:57,2017-02-23 08:18:48,1,2.11,1,N,140,161,1,11.5,0.0,0.5,2.46,0.0,0.3,14.76,0 days 00:13:51
38,10421657,1,2017-02-12 18:45:41,2017-02-12 18:48:58,4,0.4,1,N,142,143,1,4.0,0.0,0.5,0.72,0.0,0.3,5.52,0 days 00:03:17
39,103916069,2,2017-12-08 12:21:55,2017-12-08 12:30:38,1,1.28,1,N,238,166,1,7.5,0.0,0.5,5.0,0.0,0.3,13.3,0 days 00:08:43
40,77743944,2,2017-09-15 19:09:51,2017-09-15 19:23:06,3,1.23,1,N,90,79,1,9.5,1.0,0.5,2.26,0.0,0.3,13.56,0 days 00:13:15
41,15086430,1,2017-02-25 07:41:32,2017-02-25 07:50:26,1,2.0,1,N,170,113,1,9.0,0.0,0.5,1.95,0.0,0.3,11.75,0 days 00:08:54
42,103823476,2,2017-12-08 07:59:11,2017-12-08 08:15:32,1,4.52,1,N,116,239,1,16.5,0.0,0.5,2.0,0.0,0.3,19.3,0 days 00:16:21
43,34535675,2,2017-04-26 11:18:27,2017-04-26 11:24:59,2,1.12,1,N,234,211,1,6.5,0.0,0.5,1.82,0.0,0.3,9.12,0 days 00:06:32
44,11969477,2,2017-02-15 17:30:24,2017-02-15 17:35:24,1,0.59,1,N,249,113,1,5.0,1.0,0.5,1.36,0.0,0.3,8.16,0 days 00:05:00
45,68798000,1,2017-08-14 17:15:32,2017-08-14 17:25:28,1,1.5,1,N,239,230,1,8.5,1.0,0.5,2.55,0.0,0.3,12.85,0 days 00:09:56
46,74499650,2,2017-09-05 15:10:20,2017-09-05 15:25:25,4,1.71,1,N,162,186,2,10.5,0.0,0.5,0.0,0.0,0.3,11.3,0 days 00:15:05
47,3377025,2,2017-01-13 02:37:24,2017-01-13 03:17:34,4,8.69,1,N,246,231,1,31.5,0.5,0.5,6.56,0.0,0.3,39.36,0 days 00:40:10
48,16623511,2,2017-03-11 04:46:32,2017-03-11 04:57:02,6,2.69,1,N,79,88,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3,0 days 00:10:30
49,34839590,2,2017-04-27 07:26:57,2017-04-27 07:28:21,1,0.42,1,N,234,107,1,3.5,0.0,0.5,0.86,0.0,0.3,5.16,0 days 00:01:24
50,59540954,2,2017-07-13 08:23:29,2017-07-13 08:47:40,2,7.37,1,N,263,88,2,25.5,0.0,0.5,0.0,0.0,0.3,26.3,0 days 00:24:11
51,27809467,1,2017-04-04 16:22:03,2017-04-04 16:35:30,1,2.2,1,N,163,90,2,10.5,1.0,0.5,0.0,0.0,0.3,12.3,0 days 00:13:27
52,1361166,1,2017-01-05 14:56:32,2017-01-05 15:24:31,2,2.6,1,N,100,237,2,17.5,0.0,0.5,0.0,0.0,0.3,18.3,0 days 00:27:59
53,25497357,2,2017-03-28 19:10:03,2017-03-28 19:13:20,1,0.8,1,N,151,239,1,4.5,1.0,0.5,1.26,0.0,0.3,7.56,0 days 00:03:17
54,73498565,1,2017-09-01 09:37:29,2017-09-01 10:00:14,1,2.9,1,N,24,48,2,16.0,0.0,0.5,0.0,0.0,0.3,16.8,0 days 00:22:45
55,69719738,2,2017-08-17 22:06:12,2017-08-17 22:32:06,1,11.07,1,N,138,97,1,32.5,0.5,0.5,6.76,0.0,0.3,40.56,0 days 00:25:54
56,9517173,1,2017-02-10 11:47:00,2017-02-10 12:09:43,1,2.7,1,N,238,161,1,15.5,0.0,0.5,4.05,0.0,0.3,20.35,0 days 00:22:43
57,19282330,2,2017-03-07 20:19:42,2017-03-07 20:29:08,2,2.51,1,N,229,146,1,10.0,0.5,0.5,3.39,0.0,0.3,14.69,0 days 00:09:26
58,22352969,2,2017-03-18 12:12:18,2017-03-18 12:20:32,1,0.78,1,N,230,50,2,7.0,0.0,0.5,0.0,0.0,0.3,7.8,0 days 00:08:14
59,17520716,2,2017-03-03 08:02:59,2017-03-03 08:05:43,1,0.85,1,N,164,170,1,4.5,0.0,0.5,1.59,0.0,0.3,6.89,0 days 00:02:44
60,34663272,2,2017-04-26 18:08:41,2017-04-26 18:11:08,5,0.38,1,N,236,236,1,4.0,1.0,0.5,1.16,0.0,0.3,6.96,0 days 00:02:27
61,32842627,2,2017-04-21 15:08:21,2017-04-21 15:18:09,1,1.15,1,N,163,100,1,8.0,0.0,0.5,1.76,0.0,0.3,10.56,0 days 00:09:48
62,8467920,2,2017-02-04 18:04:26,2017-02-04 18:19:15,1,7.16,1,N,141,243,2,21.0,0.0,0.5,0.0,0.0,0.3,21.8,0 days 00:14:49
63,83622942,2,2017-10-05 09:39:28,2017-10-05 09:42:32,6,0.22,3,N,48,48,2,21.5,0.0,0.0,0.0,0.0,0.3,21.8,0 days 00:03:04
64,21974063,1,2017-03-17 09:17:05,2017-03-17 09:21:34,1,0.7,1,N,237,236,1,5.0,0.0,0.5,1.15,0.0,0.3,6.95,0 days 00:04:29
65,110794327,2,2017-12-31 13:03:12,2017-12-31 13:06:52,6,0.71,1,N,161,229,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3,0 days 00:03:40
66,105212199,2,2017-12-12 11:12:23,2017-12-12 12:01:01,1,3.1,1,N,186,263,1,28.0,0.0,0.5,5.76,0.0,0.3,34.56,0 days 00:48:38
67,74143232,2,2017-09-03 23:15:56,2017-09-03 23:31:25,2,2.96,1,N,161,148,1,13.0,0.5,0.5,2.86,0.0,0.3,17.16,0 days 00:15:29
68,105476838,1,2017-12-13 07:06:10,2017-12-13 07:11:40,1,0.8,1,N,142,230,1,5.5,0.0,0.5,1.0,0.0,0.3,7.3,0 days 00:05:30
69,65221014,2,2017-08-01 18:09:45,2017-08-01 18:14:05,1,0.96,1,N,162,162,2,5.5,1.0,0.5,0.0,0.0,0.3,7.3,0 days 00:04:20
70,85218699,1,2017-10-10 14:40:11,2017-10-10 14:54:27,4,1.9,1,N,144,68,2,10.5,0.0,0.5,0.0,0.0,0.3,11.3,0 days 00:14:16
71,66465797,2,2017-08-05 22:28:06,2017-08-05 22:34:13,4,0.97,1,N,43,43,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,0 days 00:06:07
72,68455717,2,2017-08-13 03:50:10,2017-08-13 03:53:43,2,0.95,1,N,68,246,1,5.0,0.5,0.5,1.0,0.0,0.3,7.3,0 days 00:03:33
73,34401650,2,2017-04-25 22:20:43,2017-04-25 22:25:28,4,1.02,1,N,166,24,1,6.0,0.5,0.5,1.46,0.0,0.3,8.76,0 days 00:04:45
74,36762559,2,2017-05-01 09:42:27,2017-05-01 09:47:29,1,0.78,1,N,13,231,1,5.0,0.0,0.5,1.0,0.0,0.3,6.8,0 days 00:05:02
75,48053276,2,2017-06-03 18:55:02,2017-06-03 19:03:22,6,1.16,1,N,234,230,1,7.0,0.0,0.5,1.95,0.0,0.3,9.75,0 days 00:08:20
76,30892521,1,2017-04-16 02:43:35,2017-04-16 03:04:48,3,4.3,1,N,249,255,1,17.5,0.5,0.5,2.22,0.0,0.3,21.02,0 days 00:21:13
77,15158530,1,2017-02-25 13:04:27,2017-02-25 13:15:41,1,1.9,1,N,107,161,1,9.5,0.0,0.5,2.55,0.0,0.3,12.85,0 days 00:11:14
78,22166926,2,2017-03-17 22:00:41,2017-03-17 22:22:57,2,11.2,1,N,138,180,1,31.5,0.5,0.5,6.56,0.0,0.3,39.36,0 days 00:22:16
79,2661149,1,2017-01-10 21:06:58,2017-01-10 21:13:20,1,2.0,1,N,246,50,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,0 days 00:06:22
80,97134848,2,2017-11-16 09:31:00,2017-11-16 09:43:17,2,1.02,1,N,48,161,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16,0 days 00:12:17
81,90957858,2,2017-10-28 04:16:54,2017-10-28 04:33:06,3,5.11,1,N,79,74,1,16.5,0.5,0.5,5.34,0.0,0.3,23.14,0 days 00:16:12
82,86230381,2,2017-10-13 15:48:39,2017-10-13 15:56:17,1,0.96,1,N,249,234,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3,0 days 00:07:38
83,79283387,2,2017-09-20 23:46:44,2017-09-20 23:54:08,1,1.9,1,N,249,164,1,8.0,0.5,0.5,1.86,0.0,0.3,11.16,0 days 00:07:24
84,64344057,1,2017-07-29 13:27:34,2017-07-29 13:36:28,1,1.6,1,N,249,186,1,8.0,0.0,0.5,1.0,0.0,0.3,9.8,0 days 00:08:54
85,74722231,1,2017-09-06 11:37:10,2017-09-06 11:40:44,1,0.4,1,N,140,140,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3,0 days 00:03:34
86,81447972,1,2017-09-28 07:17:44,2017-09-28 07:21:35,1,0.9,1,N,237,162,1,5.0,0.0,0.5,1.0,0.0,0.3,6.8,0 days 00:03:51
87,69751803,2,2017-08-18 01:17:32,2017-08-18 01:34:48,1,4.96,1,N,114,257,1,17.0,0.5,0.5,3.66,0.0,0.3,21.96,0 days 00:17:16
88,16215929,1,2017-02-28 18:02:05,2017-02-28 18:13:30,1,4.9,1,N,87,170,1,16.0,1.0,0.5,5.3,0.0,0.3,23.1,0 days 00:11:25
89,16416397,1,2017-03-10 18:31:50,2017-03-10 18:58:46,1,9.6,1,N,234,244,2,30.5,1.0,0.5,0.0,0.0,0.3,32.3,0 days 00:26:56
90,38609090,1,2017-05-06 14:54:22,2017-05-06 15:19:17,1,2.9,1,N,79,255,2,17.5,0.0,0.5,0.0,0.0,0.3,18.3,0 days 00:24:55
91,60107150,2,2017-07-15 00:28:27,2017-07-15 00:37:09,2,1.62,1,N,125,87,1,8.0,0.5,0.5,1.0,0.0,0.3,10.3,0 days 00:08:42
92,87475909,1,2017-10-17 14:29:39,2017-10-17 15:00:14,1,13.8,1,N,138,51,1,39.0,0.0,0.5,9.1,5.76,0.3,54.66,0 days 00:30:35
93,10038766,1,2017-02-11 19:09:12,2017-02-11 19:32:20,1,1.7,1,N,249,107,1,14.5,0.0,0.5,1.0,0.0,0.3,16.3,0 days 00:23:08
94,53636202,2,2017-06-23 19:53:53,2017-06-23 20:00:57,2,0.88,1,N,170,234,1,6.5,1.0,0.5,0.5,0.0,0.3,8.8,0 days 00:07:04
95,20414683,2,2017-03-26 20:06:55,2017-03-26 20:14:43,1,1.46,1,N,186,233,1,7.0,0.5,0.5,1.24,0.0,0.3,9.54,0 days 00:07:48
96,63683638,2,2017-07-27 10:10:04,2017-07-27 10:23:13,1,1.66,1,N,163,100,1,10.0,0.0,0.5,1.2,0.0,0.3,12.0,0 days 00:13:09
97,105056260,2,2017-12-11 20:04:27,2017-12-11 20:16:10,1,1.63,1,N,161,234,1,9.5,0.5,0.5,2.16,0.0,0.3,12.96,0 days 00:11:43
98,97913057,1,2017-11-18 13:04:54,2017-11-18 13:39:53,1,10.0,1,N,230,138,1,34.5,0.0,0.5,7.05,0.0,0.3,42.35,0 days 00:34:59
99,22572601,2,2017-03-18 23:41:50,2017-03-18 23:49:21,1,1.42,1,N,113,68,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,0 days 00:07:31
100,11538055,2,2017-02-07 08:56:08,2017-02-07 09:07:32,1,0.72,1,N,211,231,1,8.0,0.0,0.5,0.0,0.0,0.3,8.8,0 days 00:11:24
101,26548374,2,2017-03-31 20:18:22,2017-03-31 20:50:17,3,9.67,1,N,138,232,1,31.0,0.5,0.5,8.08,0.0,0.3,40.38,0 days 00:31:55
102,44715204,1,2017-05-24 20:46:11,2017-05-24 21:02:29,1,2.3,1,N,161,246,1,12.5,0.5,0.5,2.75,0.0,0.3,16.55,0 days 00:16:18
103,12031574,1,2017-02-15 20:16:09,2017-02-15 20:39:44,1,4.7,1,N,256,181,1,18.5,0.5,0.5,3.0,0.0,0.3,22.8,0 days 00:23:35
104,81845123,1,2017-09-29 11:38:58,2017-09-29 12:10:34,1,3.5,1,N,163,211,2,19.5,0.0,0.5,0.0,0.0,0.3,20.3,0 days 00:31:36
105,69221794,1,2017-08-16 09:30:43,2017-08-16 09:46:07,1,2.7,1,N,236,164,2,12.5,0.0,0.5,0.0,0.0,0.3,13.3,0 days 00:15:24
106,50030141,2,2017-06-13 19:17:33,2017-06-13 19:27:33,2,1.07,1,N,113,125,2,8.0,1.0,0.5,0.0,0.0,0.3,9.8,0 days 00:10:00
107,66364969,1,2017-08-05 15:42:20,2017-08-05 16:00:35,2,2.3,1,N,50,170,2,13.0,0.0,0.5,0.0,0.0,0.3,13.8,0 days 00:18:15
108,43025860,2,2017-05-13 20:55:32,2017-05-13 21:20:31,1,6.93,1,N,166,158,2,24.0,0.5,0.5,0.0,0.0,0.3,25.3,0 days 00:24:59
109,35466233,2,2017-04-10 22:17:19,2017-04-10 22:33:30,6,2.95,1,N,161,236,2,13.5,0.5,0.5,0.0,0.0,0.3,14.8,0 days 00:16:11
110,47959795,1,2017-06-03 14:24:57,2017-06-03 15:31:48,1,18.0,2,N,132,163,1,52.0,0.0,0.5,0.0,0.0,0.3,52.8,0 days 01:06:51
111,97525570,2,2017-11-17 12:01:00,2017-11-17 12:24:22,6,6.25,1,N,231,107,1,22.5,0.0,0.5,4.66,0.0,0.3,27.96,0 days 00:23:22
112,81692055,1,2017-09-28 21:17:50,2017-09-28 21:30:03,1,1.8,1,N,233,163,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,0 days 00:12:13
113,26670402,2,2017-04-01 02:56:51,2017-04-01 03:00:35,6,0.63,1,N,255,255,1,4.5,0.5,0.5,1.16,0.0,0.3,6.96,0 days 00:03:44
114,88901446,1,2017-10-21 19:27:11,2017-10-21 19:34:31,2,1.3,1,N,75,74,1,7.0,0.0,0.5,0.0,0.0,0.3,7.8,0 days 00:07:20
115,110361673,2,2017-12-29 17:22:05,2017-12-29 17:32:05,6,3.22,1,N,138,223,1,11.5,1.0,0.5,3.32,0.0,0.3,16.62,0 days 00:10:00
116,81142873,2,2017-09-27 09:10:06,2017-09-27 09:16:56,2,1.09,1,N,74,41,1,6.5,0.0,0.5,1.0,0.0,0.3,8.3,0 days 00:06:50
117,58371316,2,2017-07-09 02:27:01,2017-07-09 02:35:16,1,0.79,1,N,100,164,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,0 days 00:08:15
118,86756559,1,2017-10-15 01:04:26,2017-10-15 01:09:50,1,1.1,1,N,158,125,1,5.5,0.5,0.5,1.35,0.0,0.3,8.15,0 days 00:05:24
119,53595206,2,2017-06-23 17:55:36,2017-06-23 18:29:34,1,2.73,1,N,237,246,1,20.5,1.0,0.5,4.46,0.0,0.3,26.76,0 days 00:33:58
120,46828622,1,2017-06-09 23:53:57,2017-06-10 00:02:51,1,1.9,1,N,236,74,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,0 days 00:08:54
121,18128086,2,2017-03-04 16:40:16,2017-03-04 16:56:11,5,2.85,1,N,164,236,1,12.5,0.0,0.5,1.0,0.0,0.3,14.3,0 days 00:15:55
122,75569108,2,2017-09-08 21:45:59,2017-09-08 22:02:24,1,1.8,1,N,230,137,2,11.5,0.5,0.5,0.0,0.0,0.3,12.8,0 days 00:16:25
123,28844177,2,2017-04-07 13:53:14,2017-04-07 13:59:27,2,0.83,1,N,230,163,1,6.0,0.0,0.5,0.7,0.0,0.3,7.5,0 days 00:06:13
124,108611319,1,2017-12-22 11:49:37,2017-12-22 12:21:07,1,4.2,1,N,262,186,1,22.0,0.0,0.5,4.56,0.0,0.3,27.36,0 days 00:31:30
125,107412684,1,2017-12-18 19:21:19,2017-12-18 19:37:07,1,1.6,1,N,186,233,2,11.0,1.0,0.5,0.0,0.0,0.3,12.8,0 days 00:15:48
126,103389639,1,2017-12-06 22:49:28,2017-12-06 22:53:36,1,0.5,1,N,161,230,1,4.5,0.5,0.5,2.0,0.0,0.3,7.8,0 days 00:04:08
127,40519150,2,2017-05-19 08:05:49,2017-05-19 08:20:09,1,1.71,1,N,229,263,1,10.5,0.0,0.5,2.26,0.0,0.3,13.56,0 days 00:14:20
128,52987734,1,2017-06-22 08:05:33,2017-06-22 08:05:40,1,0.0,3,N,231,231,2,20.0,0.0,0.0,0.0,0.0,0.3,20.3,0 days 00:00:07
129,51203824,2,2017-06-17 00:21:33,2017-06-17 00:26:29,1,1.06,1,N,68,113,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,0 days 00:04:56
130,22567251,1,2017-03-18 23:23:48,2017-03-18 23:43:44,2,4.1,1,N,48,232,1,17.5,0.5,0.5,3.75,0.0,0.3,22.55,0 days 00:19:56
131,105298274,2,2017-12-12 16:50:38,2017-12-12 16:56:27,1,1.08,1,N,142,238,1,6.0,1.0,0.5,1.17,0.0,0.3,8.97,0 days 00:05:49
132,99589612,1,2017-11-24 15:17:47,2017-11-24 15:33:57,1,2.6,1,N,148,170,2,13.0,0.0,0.5,0.0,0.0,0.3,13.8,0 days 00:16:10
133,110346534,2,2017-12-29 16:04:10,2017-12-29 16:10:06,1,0.91,1,N,43,43,2,6.0,1.0,0.5,0.0,0.0,0.3,7.8,0 days 00:05:56
134,61164590,2,2017-07-18 19:11:53,2017-07-18 19:23:35,1,0.95,1,N,68,161,1,8.5,1.0,0.5,2.0,0.0,0.3,12.3,0 days 00:11:42
135,90236,2,2017-01-08 02:59:32,2017-01-08 03:04:25,1,1.71,1,N,263,74,1,6.5,0.5,0.5,1.0,0.0,0.3,8.8,0 days 00:04:53
136,58377330,2,2017-07-09 03:01:18,2017-07-09 03:11:20,1,2.62,1,N,211,68,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3,0 days 00:10:02
137,72458348,1,2017-08-28 11:51:26,2017-08-28 12:20:34,1,9.0,1,N,132,265,2,28.0,0.0,0.5,0.0,0.0,0.3,28.8,0 days 00:29:08
138,60784846,2,2017-07-17 14:20:31,2017-07-17 14:24:40,1,0.67,1,N,236,236,1,4.5,0.0,0.5,1.06,0.0,0.3,6.36,0 days 00:04:09
139,69418623,1,2017-08-16 21:37:16,2017-08-16 21:42:40,2,1.1,1,N,50,239,1,6.0,0.5,0.5,1.45,0.0,0.3,8.75,0 days 00:05:24
140,105605623,2,2017-12-13 14:05:28,2017-12-13 14:20:29,2,2.14,1,N,236,142,2,11.5,0.0,0.5,0.0,0.0,0.3,12.3,0 days 00:15:01
141,87700308,1,2017-10-18 07:42:38,2017-10-18 07:49:21,1,1.4,1,N,144,107,1,6.5,0.0,0.5,1.45,0.0,0.3,8.75,0 days 00:06:43
142,109647816,1,2017-12-26 23:33:55,2017-12-26 23:38:49,1,1.0,1,N,148,113,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,0 days 00:04:54
143,21522772,2,2017-03-15 21:17:04,2017-03-15 21:23:59,1,1.84,1,N,43,236,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,0 days 00:06:55
144,105225388,2,2017-12-12 12:32:11,2017-12-12 12:35:27,1,0.55,1,N,237,237,1,4.0,0.0,0.5,1.2,0.0,0.3,6.0,0 days 00:03:16
145,28327177,1,2017-04-06 02:45:19,2017-04-06 02:47:22,1,0.3,1,N,170,170,2,3.5,0.5,0.5,0.0,0.0,0.3,4.8,0 days 00:02:03
146,30302498,2,2017-04-14 12:49:44,2017-04-14 12:58:24,1,1.39,1,N,262,140,1,8.0,0.0,0.5,2.2,0.0,0.3,11.0,0 days 00:08:40
147,17546084,1,2017-03-03 09:18:43,2017-03-03 09:34:52,1,1.5,1,N,50,161,3,11.0,0.0,0.5,0.0,0.0,0.3,11.8,0 days 00:16:09
148,7881499,1,2017-02-03 06:24:44,2017-02-03 06:30:49,1,1.1,1,N,186,186,3,6.0,0.0,0.5,0.0,0.0,0.3,6.8,0 days 00:06:05
149,21421694,1,2017-03-15 15:42:07,2017-03-15 15:46:27,1,0.5,1,N,236,263,1,4.5,0.0,0.5,1.05,0.0,0.3,6.35,0 days 00:04:20
150,40625329,2,2017-05-19 14:10:22,2017-05-19 14:28:56,1,1.57,1,N,234,170,1,12.5,0.0,0.5,2.66,0.0,0.3,15.96,0 days 00:18:34
151,77799198,2,2017-09-15 22:13:28,2017-09-15 22:15:57,2,1.03,1,N,239,142,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56,0 days 00:02:29
152,31264725,2,2017-04-17 12:03:15,2017-04-17 12:40:01,5,11.51,1,N,161,138,2,39.5,0.0,0.5,0.0,5.76,0.3,46.06,0 days 00:36:46
153,73696467,2,2017-09-01 23:10:27,2017-09-01 23:14:38,2,0.65,1,N,144,211,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,0 days 00:04:11
154,100891894,1,2017-11-29 11:13:29,2017-11-29 11:47:12,1,2.8,1,N,238,162,1,20.5,0.0,0.5,3.2,0.0,0.3,24.5,0 days 00:33:43
